Data,Dia,Dia da Semana,Semana do mês,Mes do ano,Final de Semana,Temperatura Media (C),Temperatura Minima (C),Temperatura Maxima (C),Precipitacao (mm),Consumo de cerveja (litros)
01/01/2015,1,5,1,1,0,27.3,23.9,32.5,0,25.461
02/01/2015,2,6,1,1,0,27.02,24.5,33.5,0,28.972
03/01/2015,3,7,1,1,1,24.82,22.4,29.9,0,30.814
04/01/2015,4,1,1,1,1,23.98,21.5,28.6,1.2,29.799
05/01/2015,5,2,1,1,0,23.82,21,28.3,0,28.9
06/01/2015,6,3,1,1,0,23.78,20.1,30.5,12.2,28.218
07/01/2015,7,4,1,1,0,24,19.5,33.7,0,29.732
08/01/2015,8,5,2,1,0,24.9,19.5,32.8,48.6,28.397
09/01/2015,9,6,2,1,0,28.2,21.9,34,4.4,24.886
10/01/2015,10,7,2,1,1,26.76,22.1,34.2,0,37.937
11/01/2015,11,1,2,1,1,27.62,22.2,34.8,3.4,36.254
12/01/2015,12,2,2,1,0,25.96,21.4,35.4,0,25.743
13/01/2015,13,3,2,1,0,25.52,21.2,34.8,0.8,26.99
14/01/2015,14,4,2,1,0,25.96,21.3,34,1.6,31.825
15/01/2015,15,5,3,1,0,25.86,21.5,32.8,3,25.724
16/01/2015,16,6,3,1,0,26.5,22.3,32.7,2,29.938
17/01/2015,17,7,3,1,1,28.86,22,35.8,0,37.69
18/01/2015,18,1,3,1,1,28.26,23.4,35.6,0,30.524
19/01/2015,19,2,3,1,0,28.22,22.7,36.5,3.7,29.265
20/01/2015,20,3,3,1,0,27.68,23.3,35.6,0.6,35.127
21/01/2015,21,4,3,1,0,25.32,22.7,30.9,0,29.13
22/01/2015,22,5,4,1,0,21.74,19.2,26.1,31,25.795
23/01/2015,23,6,4,1,0,21.04,18.5,26.1,3.6,21.784
24/01/2015,24,7,4,1,1,23.12,19,29.4,13,28.348
25/01/2015,25,1,4,1,1,24.4,18.1,30,0,31.088
26/01/2015,26,2,4,1,0,22.4,18.9,28.7,20.8,21.52
27/01/2015,27,3,4,1,0,23.6,20.5,28.7,1.2,29.972
28/01/2015,28,4,4,1,0,25.68,20.1,29.9,4.9,22.603
29/01/2015,29,5,5,1,0,25,21.5,29.2,0,22.696
30/01/2015,30,6,5,1,0,22.8,20.9,26.9,0,26.845
31/01/2015,31,7,5,1,1,21.64,18.5,24.3,0.2,27.03
01/02/2015,32,1,1,2,1,24.16,20.6,28,0,32.057
02/02/2015,33,2,1,2,0,22.48,20.7,26.5,4.5,24.097
03/02/2015,34,3,1,2,0,23.16,18,31.1,1.6,31.655
04/02/2015,35,4,1,2,0,22.12,19.9,23.7,3.2,24.738
05/02/2015,36,5,1,2,0,20.28,19.1,22.9,5.6,19.95
06/02/2015,37,6,1,2,0,21.06,17.9,25.4,18.4,22.821
07/02/2015,38,7,1,2,1,21.86,17.3,28.7,16.7,28.893
08/02/2015,39,1,2,2,1,22.76,17.1,29.5,10.4,29.926
09/02/2015,40,2,2,2,0,24,19.3,30.7,0,24.062
10/02/2015,41,3,2,2,0,23.92,20.1,29,32.2,21.137
11/02/2015,42,4,2,2,0,25.38,19.9,30.4,2.2,26.805
12/02/2015,43,5,2,2,0,27.66,23.1,32.7,0,26.389
13/02/2015,44,6,2,2,0,25.54,22.5,32.1,0,24.219
14/02/2015,45,7,2,2,1,24.32,21.1,31.6,0,30.231
15/02/2015,46,1,3,2,1,22.9,20,27.6,17.4,24.968
16/02/2015,47,2,3,2,0,21.6,18.8,27.3,22.7,25.343
17/02/2015,48,3,3,2,0,22.76,19.7,28,85.3,17.399
18/02/2015,49,4,3,2,0,22.22,19.9,26.4,13.4,21.392
19/02/2015,50,5,3,2,0,23.92,19.9,28.5,2.4,22.922
20/02/2015,51,6,3,2,0,24.72,21.7,28.2,0,24.567
21/02/2015,52,7,3,2,1,25.2,21.4,31.1,0,30.943
22/02/2015,53,1,4,2,1,24.44,20.4,30.8,0,30.825
23/02/2015,54,2,4,2,0,25.4,20.7,31.4,0,25.692
24/02/2015,55,3,4,2,0,24.3,20.5,31.9,0,26.959
25/02/2015,56,4,4,2,0,22.24,19.3,29.3,2,25.366
26/02/2015,57,5,4,2,0,24.1,19.2,30.3,34.4,22.784
27/02/2015,58,6,4,2,0,24.64,20.4,31.4,0.6,26.241
28/02/2015,59,7,4,2,1,22.4,19.7,27.7,0,26.467
01/03/2015,60,1,1,3,1,21.26,18.2,26.3,3,27.475
02/03/2015,61,2,1,3,0,22.16,17.2,29.2,0,28.749
03/03/2015,62,3,1,3,0,23.16,19.5,29.5,0,24.146
04/03/2015,63,4,1,3,0,23.68,18.9,30.5,0,22.988
05/03/2015,64,5,1,3,0,24.42,19.7,31.6,0,30.3
06/03/2015,65,6,1,3,0,22.6,19.4,28.5,0,22.654
07/03/2015,66,7,1,3,1,21.92,19.4,26.6,38.2,29.09
08/03/2015,67,1,2,3,1,22.2,19.7,24.4,69.2,24.619
09/03/2015,68,2,2,3,0,21.36,19.7,23.3,77,20.016
10/03/2015,69,3,2,3,0,23.12,21.2,26.9,9.7,23.042
11/03/2015,70,4,2,3,0,22.88,20.1,28.1,9.5,22.933
12/03/2015,71,5,2,3,0,22.26,19.2,26.9,1.2,22.409
13/03/2015,72,6,2,3,0,22.34,20,26.6,0,21.281
14/03/2015,73,7,2,3,1,22.88,19.9,27.9,12.2,28.844
15/03/2015,74,1,3,3,1,22.08,19.1,26.8,0.3,32.872
16/03/2015,75,2,3,3,0,21.92,18.6,29.4,22.4,20.903
17/03/2015,76,3,3,3,0,21.92,18.6,25.6,24.2,26.275
18/03/2015,77,4,3,3,0,21.24,19.7,24.1,0,20.167
19/03/2015,78,5,3,3,0,21.78,19.2,27.1,3.2,23.628
20/03/2015,79,6,3,3,0,21.64,18.9,28.2,7.4,24.213
21/03/2015,80,7,3,3,1,20.88,18.5,25.3,14.7,28.631
22/03/2015,81,1,4,3,1,19.7,18.1,22.8,1.7,25.855
23/03/2015,82,2,4,3,0,19.88,17.1,23.3,19.2,21.406
24/03/2015,83,3,4,3,0,20.98,17.4,26.3,0,21.617
25/03/2015,84,4,4,3,0,21.56,17.1,27.9,0,22.401
26/03/2015,85,5,4,3,0,22.98,18.3,29.8,0,27.989
27/03/2015,86,6,4,3,0,23.32,18,30.8,0,24.974
28/03/2015,87,7,4,3,1,23.28,19.1,29.5,0,29.76
29/03/2015,88,1,5,3,1,22.14,20.5,26.6,0,26.116
30/03/2015,89,2,5,3,0,22.5,19,25.9,18.6,25.85
31/03/2015,90,3,5,3,0,23.14,20.1,29,1,24.925
01/04/2015,91,4,1,4,0,22.52,19.2,27.5,0,21.979
02/04/2015,92,5,1,4,0,20.92,18.2,26.2,0,22.116
03/04/2015,93,6,1,4,0,21.02,16.3,27.2,0,24.867
04/04/2015,94,7,1,4,1,22.36,17.9,29.4,0,33.45
05/04/2015,95,1,1,4,1,22.82,20.1,26.4,0,32.713
06/04/2015,96,2,1,4,0,21.36,18.5,27.7,0,22.356
07/04/2015,97,3,1,4,0,17.38,16.1,20,7.1,21.004
08/04/2015,98,4,2,4,0,18.68,14.7,24.3,0.4,23.362
09/04/2015,99,5,2,4,0,19.4,15.9,25.6,0,20.298
10/04/2015,100,6,2,4,0,20.46,17,25.5,0,24.862
11/04/2015,101,7,2,4,1,21.74,17.2,28.4,0,30.505
12/04/2015,102,1,2,4,1,19.92,16.8,25.7,0,25.07
13/04/2015,103,2,2,4,0,20.88,18.1,25.7,0,22.62
14/04/2015,104,3,2,4,0,21.7,18.4,28.8,0,22.001
15/04/2015,105,4,3,4,0,21.94,18.5,27.4,0,23.469
16/04/2015,106,5,3,4,0,21.26,18.6,26.7,25.4,21.735
17/04/2015,107,6,3,4,0,21.42,18.4,27,37.2,21.593
18/04/2015,108,7,3,4,1,23.36,18.2,29.3,0,33.822
19/04/2015,109,1,3,4,1,22.5,20.3,27.2,0,28.028
20/04/2015,110,2,3,4,0,24,19.3,29.2,20.2,24.304
21/04/2015,111,3,3,4,0,22.52,19.3,29,0,31.108
22/04/2015,112,4,4,4,0,20.06,18.9,21.6,2.4,19.113
23/04/2015,113,5,4,4,0,21.2,18.6,24.9,14.6,23.198
24/04/2015,114,6,4,4,0,22.52,19.3,28.1,0,24.388
25/04/2015,115,7,4,4,1,19.18,17.4,23.3,0,27.42
26/04/2015,116,1,4,4,1,19.04,16.1,23.7,0.8,30.479
27/04/2015,117,2,4,4,0,19.82,17.5,24.9,0,21.838
28/04/2015,118,3,4,4,0,20.26,17.2,26.9,0,20.812
29/04/2015,119,4,5,4,0,18.66,16.8,22.7,0,19.761
30/04/2015,120,5,5,4,0,16.22,14.7,18.7,0,20.452
01/05/2015,121,6,1,5,0,17.34,13.4,22,0,17.939
02/05/2015,122,7,1,5,1,19.26,14.7,26.4,0,25.272
03/05/2015,123,1,1,5,1,21.04,15.8,26.3,0,28.049
04/05/2015,124,2,1,5,0,19.96,17.9,22.3,1,25.317
05/05/2015,125,3,1,5,0,18.14,16.6,20.8,9.9,21.826
06/05/2015,126,4,1,5,0,17.76,15.9,20.4,0,20.68
07/05/2015,127,5,1,5,0,17.8,15.8,21.7,0,19.143
08/05/2015,128,6,2,5,0,16.14,13.9,19.2,0,18.146
09/05/2015,129,7,2,5,1,18.04,13.7,26.1,0,25.489
10/05/2015,130,1,2,5,1,16.94,13.7,21,0,23.537
11/05/2015,131,2,2,5,0,17.86,15.7,20.6,22.2,16.956
12/05/2015,132,3,2,5,0,17.12,14.2,21.7,0,19.052
